korean,latin,transcription
뛁,ddweolg,t͈weolg
뛂,ddweolm,t͈weolm
뛃,ddweolb,t͈weolb
뛄,ddweols,t͈weols
뛅,ddweolt,t͈weoltʰ
뛆,ddweolp,t͈weolpʰ
뛇,ddweolh,t͈weolh
뛈,ddweom,t͈weom
뛉,ddweob,t͈weop
뛊,ddweobs,t͈weops
뛋,ddweos,t͈weos
뛌,ddweoss,t͈weos͈
뛍,ddweong,t͈weoŋ
뛎,ddweoj,t͈weoc
뛏,ddweoch,t͈weocʰ
뛐,ddweok,t͈weokʰ
뛑,ddweot,t͈weotʰ
뛒,ddweop,t͈weopʰ
뛓,ddweoh,t͈weoh
뛔,ddwe,t͈we
뛕,ddweg,t͈wek
뛖,ddwegg,t͈wek͈
뛗,ddwegs,t͈weks
뛘,ddwen,t͈wen
뛙,ddwenj,t͈wenɟ
뛚,ddwenh,t͈wenh
뛛,ddwed,t͈wet
뛜,ddwel,t͈weɾ
뛝,ddwelg,t͈welg
뛞,ddwelm,t͈welm
뛟,ddwelb,t͈welb
뛠,ddwels,t͈wels
뛡,ddwelt,t͈weltʰ
뛢,ddwelp,t͈welpʰ
뛣,ddwelh,t͈welh
뛤,ddwem,t͈wem
뛥,ddweb,t͈wep
뛦,ddwebs,t͈weps
뛧,ddwes,t͈wes
뛨,ddwess,t͈wes͈
뛩,ddweng,t͈weŋ
뛪,ddwej,t͈wec
뛫,ddwech,t͈wecʰ
뛬,ddwek,t͈wekʰ
뛭,ddwet,t͈wetʰ
뛮,ddwep,t͈wepʰ
뛯,ddweh,t͈weh
뛰,ddwi,t͈wi
뛱,ddwig,t͈wik
뛲,ddwigg,t͈wik͈
뛳,ddwigs,t͈wiks
뛴,ddwin,t͈win
뛵,ddwinj,t͈winɟ
뛶,ddwinh,t͈winh
뛷,ddwid,t͈wit
뛸,ddwil,t͈wiɾ
뛹,ddwilg,t͈wilg
뛺,ddwilm,t͈wilm
뛻,ddwilb,t͈wilb
뛼,ddwils,t͈wils
뛽,ddwilt,t͈wiltʰ
뛾,ddwilp,t͈wilpʰ
뛿,ddwilh,t͈wilh
뜀,ddwim,t͈wim
뜁,ddwib,t͈wip
뜂,ddwibs,t͈wips
뜃,ddwis,t͈wis
뜄,ddwiss,t͈wis͈
뜅,ddwing,t͈wiŋ
뜆,ddwij,t͈wic
뜇,ddwich,t͈wicʰ
뜈,ddwik,t͈wikʰ
뜉,ddwit,t͈witʰ
뜊,ddwip,t͈wipʰ
뜋,ddwih,t͈wih
뜌,ddyu,t͈ju
뜍,ddyug,t͈juk
뜎,ddyugg,t͈juk͈
뜏,ddyugs,t͈juks
뜐,ddyun,t͈jun
뜑,ddyunj,t͈junɟ
뜒,ddyunh,t͈junh
뜓,ddyud,t͈jut
뜔,ddyul,t͈juɾ
뜕,ddyulg,t͈julg
뜖,ddyulm,t͈julm
뜗,ddyulb,t͈julb
뜘,ddyuls,t͈juls
뜙,ddyult,t͈jultʰ
뜚,ddyulp,t͈julpʰ
뜛,ddyulh,t͈julh
뜜,ddyum,t͈jum
뜝,ddyub,t͈jup
뜞,ddyubs,t͈jups
뜟,ddyus,t͈jus
뜠,ddyuss,t͈jus͈
뜡,ddyung,t͈juŋ
뜢,ddyuj,t͈juc
뜣,ddyuch,t͈jucʰ
뜤,ddyuk,t͈jukʰ
뜥,ddyut,t͈jutʰ
뜦,ddyup,t͈jupʰ
뜧,ddyuh,t͈juh
뜨,ddeu,t͈ɨ
뜩,ddeug,t͈ɨk
뜪,ddeugg,t͈ɨk͈
뜫,ddeugs,t͈ɨks
뜬,ddeun,t͈ɨn
뜭,ddeunj,t͈ɨnɟ
뜮,ddeunh,t͈ɨnh
뜯,ddeud,t͈ɨt
뜰,ddeul,t͈ɨɾ
뜱,ddeulg,t͈ɨlg
뜲,ddeulm,t͈ɨlm
뜳,ddeulb,t͈ɨlb
뜴,ddeuls,t͈ɨls
뜵,ddeult,t͈ɨltʰ
뜶,ddeulp,t͈ɨlpʰ
뜷,ddeulh,t͈ɨlh
뜸,ddeum,t͈ɨm
뜹,ddeub,t͈ɨp
뜺,ddeubs,t͈ɨps
뜻,ddeus,t͈ɨs
뜼,ddeuss,t͈ɨs͈
뜽,ddeung,t͈ɨŋ
뜾,ddeuj,t͈ɨc
뜿,ddeuch,t͈ɨcʰ
띀,ddeuk,t͈ɨkʰ
띁,ddeut,t͈ɨtʰ
띂,ddeup,t͈ɨpʰ
띃,ddeuh,t͈ɨh
띄,ddyi,t͈ы
띅,ddyig,t͈ыk
띆,ddyigg,t͈ыk͈
띇,ddyigs,t͈ыks
띈,ddyin,t͈ыn
띉,ddyinj,t͈ыnɟ
띊,ddyinh,t͈ыnh
띋,ddyid,t͈ыt
띌,ddyil,t͈ыɾ
띍,ddyilg,t͈ыlg
띎,ddyilm,t͈ыlm
띏,ddyilb,t͈ыlb
띐,ddyils,t͈ыls
띑,ddyilt,t͈ыltʰ
띒,ddyilp,t͈ыlpʰ
띓,ddyilh,t͈ыlh
띔,ddyim,t͈ыm
띕,ddyib,t͈ыp
띖,ddyibs,t͈ыps
띗,ddyis,t͈ыs
띘,ddyiss,t͈ыs͈
띙,ddying,t͈ыŋ
띚,ddyij,t͈ыc
띛,ddyich,t͈ыcʰ
띜,ddyik,t͈ыkʰ
띝,ddyit,t͈ыtʰ
띞,ddyip,t͈ыpʰ
띟,ddyih,t͈ыh
띠,ddi,t͈i
띡,ddig,t͈ik
띢,ddigg,t͈ik͈
띣,ddigs,t͈iks
띤,ddin,t͈in
띥,ddinj,t͈inɟ
띦,ddinh,t͈inh
띧,ddid,t͈it
띨,ddil,t͈iɾ
띩,ddilg,t͈ilg
띪,ddilm,t͈ilm
띫,ddilb,t͈ilb
띬,ddils,t͈ils
띭,ddilt,t͈iltʰ
띮,ddilp,t͈ilpʰ
띯,ddilh,t͈ilh
띰,ddim,t͈im
띱,ddib,t͈ip
띲,ddibs,t͈ips
띳,ddis,t͈is
띴,ddiss,t͈is͈
띵,dding,t͈iŋ
띶,ddij,t͈ic
띷,ddich,t͈icʰ
띸,ddik,t͈ikʰ
띹,ddit,t͈itʰ
띺,ddip,t͈ipʰ
띻,ddih,t͈ih
라,ra,ra
락,rag,rak
띾,ragg,rak͈
띿,rags,raks
란,ran,ran
랁,ranj,ranɟ
랂,ranh,ranh
랃,rad,rat
랄,ral,raɾ
랅,ralg,ralg
랆,ralm,ralm
랇,ralb,ralb
랈,rals,rals
랉,ralt,raltʰ
랊,ralp,ralpʰ
랋,ralh,ralh
람,ram,ram
랍,rab,rap
랎,rabs,raps
랏,ras,ras
랐,rass,ras͈
랑,rang,raŋ
랒,raj,rac
랓,rach,racʰ
랔,rak,rakʰ
랕,rat,ratʰ
랖,rap,rapʰ
랗,rah,rah
래,rae,rɛ
랙,raeg,rɛk
랚,raegg,rɛk͈
랛,raegs,rɛks
랜,raen,rɛn
랝,raenj,rɛnɟ
랞,raenh,rɛnh
랟,raed,rɛt
랠,rael,rɛɾ
랡,raelg,rɛlg
랢,raelm,rɛlm
랣,raelb,rɛlb
랤,raels,rɛls
랥,raelt,rɛltʰ
랦,raelp,rɛlpʰ
랧,raelh,rɛlh
램,raem,rɛm
랩,raeb,rɛp
랪,raebs,rɛps
랫,raes,rɛs
랬,raess,rɛs͈
랭,raeng,rɛŋ
랮,raej,rɛc
랯,raech,rɛcʰ
랰,raek,rɛkʰ
랱,raet,rɛtʰ
랲,raep,rɛpʰ
랳,raeh,rɛh
랴,rya,rja
략,ryag,rjak
랶,ryagg,rjak͈
랷,ryags,rjaks
랸,ryan,rjan
랹,ryanj,rjanɟ
랺,ryanh,rjanh
랻,ryad,rjat
랼,ryal,rjaɾ
랽,ryalg,rjalg
랾,ryalm,rjalm
랿,ryalb,rjalb
럀,ryals,rjals
럁,ryalt,rjaltʰ
럂,ryalp,rjalpʰ
럃,ryalh,rjalh
럄,ryam,rjam
럅,ryab,rjap
럆,ryabs,rjaps
럇,ryas,rjas
럈,ryass,rjas͈
량,ryang,rjaŋ
럊,ryaj,rjac
럋,ryach,rjacʰ
럌,ryak,rjakʰ
럍,ryat,rjatʰ
럎,ryap,rjapʰ
럏,ryah,rjah
럐,ryae,rja
럑,ryaeg,rjaek
럒,ryaegg,rjaek͈
럓,ryaegs,rjaeks
럔,ryaen,rjaen
럕,ryaenj,rjaenɟ
럖,ryaenh,rjaenh
럗,ryaed,rjaet
럘,ryael,rjaeɾ
럙,ryaelg,rjaelg
럚,ryaelm,rjaelm
럛,ryaelb,rjaelb
럜,ryaels,rjaels
럝,ryaelt,rjaeltʰ
럞,ryaelp,rjaelpʰ
럟,ryaelh,rjaelh
럠,ryaem,rjaem
럡,ryaeb,rjaep
럢,ryaebs,rjaeps
럣,ryaes,rjaes
럤,ryaess,rjaes͈
럥,ryaeng,rjaeŋ
럦,ryaej,rjaec
럧,ryaech,rjaecʰ
럨,ryaek,rjaekʰ
럩,ryaet,rjaetʰ
럪,ryaep,rjaepʰ
럫,ryaeh,rjaeh
러,reo,reo
럭,reog,reok
럮,reogg,reok͈
럯,reogs,reoks
런,reon,reon
럱,reonj,reonɟ
럲,reonh,reonh
럳,reod,reot
럴,reol,reoɾ
럵,reolg,reolg
럶,reolm,reolm
럷,reolb,reolb
럸,reols,reols
럹,reolt,reoltʰ
럺,reolp,reolpʰ
럻,reolh,reolh
럼,reom,reom
럽,reob,reop
럾,reobs,reops
럿,reos,reos
렀,reoss,reos͈
렁,reong,reoŋ
렂,reoj,reoc
렃,reoch,reocʰ
렄,reok,reokʰ
렅,reot,reotʰ
렆,reop,reopʰ
렇,reoh,reoh
레,re,re
렉,reg,rek
렊,regg,rek͈
렋,regs,reks
렌,ren,ren
렍,renj,renɟ
렎,renh,renh
렏,red,ret
렐,rel,reɾ
렑,relg,relg
렒,relm,relm
렓,relb,relb
렔,rels,rels
렕,relt,reltʰ
렖,relp,relpʰ
렗,relh,relh
렘,rem,rem
렙,reb,rep
렚,rebs,reps
렛,res,res
렜,ress,res͈
렝,reng,reŋ
렞,rej,rec
렟,rech,recʰ
렠,rek,rekʰ
렡,ret,retʰ
렢,rep,repʰ
렣,reh,reh
려,ryeo,rjeo
력,ryeog,rjeok
렦,ryeogg,rjeok͈
렧,ryeogs,rjeoks
련,ryeon,rjeon
렩,ryeonj,rjeonɟ
렪,ryeonh,rjeonh
렫,ryeod,rjeot
렬,ryeol,rjeoɾ
렭,ryeolg,rjeolg
렮,ryeolm,rjeolm
렯,ryeolb,rjeolb
렰,ryeols,rjeols
렱,ryeolt,rjeoltʰ
렲,ryeolp,rjeolpʰ
렳,ryeolh,rjeolh
렴,ryeom,rjeom
렵,ryeob,rjeop
렶,ryeobs,rjeops
렷,ryeos,rjeos
렸,ryeoss,rjeos͈
령,ryeong,rjeoŋ
렺,ryeoj,rjeoc
렻,ryeoch,rjeocʰ
렼,ryeok,rjeokʰ
렽,ryeot,rjeotʰ
렾,ryeop,rjeopʰ
렿,ryeoh,rjeoh
례,rye,rje
롁,ryeg,rjek
롂,ryegg,rjek͈
롃,ryegs,rjeks
롄,ryen,rjen
롅,ryenj,rjenɟ
롆,ryenh,rjenh
롇,ryed,rjet
롈,ryel,rjeɾ
롉,ryelg,rjelg
롊,ryelm,rjelm
롋,ryelb,rjelb
롌,ryels,rjels
롍,ryelt,rjeltʰ
롎,ryelp,rjelpʰ
롏,ryelh,rjelh
롐,ryem,rjem
롑,ryeb,rjep
롒,ryebs,rjeps
롓,ryes,rjes
롔,ryess,rjes͈
롕,ryeng,rjeŋ
롖,ryej,rjec
롗,ryech,rjecʰ
롘,ryek,rjekʰ
롙,ryet,rjetʰ
롚,ryep,rjepʰ
롛,ryeh,rjeh
로,ro,ro
록,rog,rok
롞,rogg,rok͈
롟,rogs,roks
론,ron,ron
롡,ronj,ronɟ
롢,ronh,ronh
롣,rod,rot
롤,rol,roɾ
롥,rolg,rolg
롦,rolm,rolm
롧,rolb,rolb
롨,rols,rols
롩,rolt,roltʰ
롪,rolp,rolpʰ
롫,rolh,rolh
롬,rom,rom
롭,rob,rop
롮,robs,rops
롯,ros,ros
롰,ross,ros͈
롱,rong,roŋ
롲,roj,roc
롳,roch,rocʰ
롴,rok,rokʰ
롵,rot,rotʰ
롶,rop,ropʰ
롷,roh,roh
롸,rwa,rwa
롹,rwag,rwak
롺,rwagg,rwak͈
롻,rwags,rwaks
롼,rwan,rwan
롽,rwanj,rwanɟ
롾,rwanh,rwanh
롿,rwad,rwat
뢀,rwal,rwaɾ
뢁,rwalg,rwalg
뢂,rwalm,rwalm
뢃,rwalb,rwalb
뢄,rwals,rwals
뢅,rwalt,rwaltʰ
뢆,rwalp,rwalpʰ
뢇,rwalh,rwalh
뢈,rwam,rwam
뢉,rwab,rwap
뢊,rwabs,rwaps
뢋,rwas,rwas
뢌,rwass,rwas͈
뢍,rwang,rwaŋ
뢎,rwaj,rwac
뢏,rwach,rwacʰ
뢐,rwak,rwakʰ
뢑,rwat,rwatʰ
뢒,rwap,rwapʰ
뢓,rwah,rwah
뢔,rwae,rwa
뢕,rwaeg,rwaek
뢖,rwaegg,rwaek͈
뢗,rwaegs,rwaeks
뢘,rwaen,rwaen
뢙,rwaenj,rwaenɟ
뢚,rwaenh,rwaenh
뢛,rwaed,rwaet
뢜,rwael,rwaeɾ
뢝,rwaelg,rwaelg
뢞,rwaelm,rwaelm
뢟,rwaelb,rwaelb
뢠,rwaels,rwaels
뢡,rwaelt,rwaeltʰ
뢢,rwaelp,rwaelpʰ
뢣,rwaelh,rwaelh
뢤,rwaem,rwaem
뢥,rwaeb,rwaep
뢦,rwaebs,rwaeps
뢧,rwaes,rwaes
뢨,rwaess,rwaes͈
뢩,rwaeng,rwaeŋ
뢪,rwaej,rwaec
뢫,rwaech,rwaecʰ
뢬,rwaek,rwaekʰ
뢭,rwaet,rwaetʰ
뢮,rwaep,rwaepʰ
뢯,rwaeh,rwaeh
뢰,roe,rwe
뢱,roeg,rwek
뢲,roegg,rwek͈
뢳,roegs,rweks
뢴,roen,rwen
뢵,roenj,rwenɟ
뢶,roenh,rwenh
뢷,roed,rwet
뢸,roel,rweɾ
뢹,roelg,rwelg
뢺,roelm,rwelm
뢻,roelb,rwelb
뢼,roels,rwels
뢽,roelt,rweltʰ
뢾,roelp,rwelpʰ
뢿,roelh,rwelh
룀,roem,rwem
룁,roeb,rwep
룂,roebs,rweps
룃,roes,rwes
룄,roess,rwes͈
룅,roeng,rweŋ
룆,roej,rwec
룇,roech,rwecʰ
룈,roek,rwekʰ
룉,roet,rwetʰ
룊,roep,rwepʰ
룋,roeh,rweh
료,ryo,ryo
룍,ryog,ryok
룎,ryogg,ryok͈
룏,ryogs,ryoks
룐,ryon,ryon
룑,ryonj,ryonɟ
룒,ryonh,ryonh
룓,ryod,ryot
룔,ryol,ryoɾ
룕,ryolg,ryolg
룖,ryolm,ryolm
룗,ryolb,ryolb
룘,ryols,ryols
룙,ryolt,ryoltʰ
룚,ryolp,ryolpʰ
룛,ryolh,ryolh
룜,ryom,ryom
룝,ryob,ryop
룞,ryobs,ryops
룟,ryos,ryos
룠,ryoss,ryos͈
룡,ryong,ryoŋ
룢,ryoj,ryoc
룣,ryoch,ryocʰ
룤,ryok,ryokʰ
룥,ryot,ryotʰ
룦,ryop,ryopʰ
룧,ryoh,ryoh
루,ru,ru
룩,rug,ruk
룪,rugg,ruk͈
룫,rugs,ruks
룬,run,run
룭,runj,runɟ
룮,runh,runh
룯,rud,rut
룰,rul,ruɾ
룱,rulg,rulg
룲,rulm,rulm
룳,rulb,rulb
룴,ruls,ruls
룵,rult,rultʰ
룶,rulp,rulpʰ
룷,rulh,rulh
룸,rum,rum
룹,rub,rup
룺,rubs,rups
룻,rus,rus
룼,russ,rus͈
룽,rung,ruŋ
룾,ruj,ruc
룿,ruch,rucʰ
뤀,ruk,rukʰ
뤁,rut,rutʰ
뤂,rup,rupʰ
뤃,ruh,ruh
뤄,rweo,rweo
뤅,rweog,rweok
뤆,rweogg,rweok͈
뤇,rweogs,rweoks
뤈,rweon,rweon
뤉,rweonj,rweonɟ
뤊,rweonh,rweonh
뤋,rweod,rweot
뤌,rweol,rweoɾ
뤍,rweolg,rweolg
뤎,rweolm,rweolm
뤏,rweolb,rweolb
뤐,rweols,rweols
뤑,rweolt,rweoltʰ
뤒,rweolp,rweolpʰ
뤓,rweolh,rweolh
뤔,rweom,rweom
뤕,rweob,rweop
뤖,rweobs,rweops
뤗,rweos,rweos
뤘,rweoss,rweos͈
뤙,rweong,rweoŋ
뤚,rweoj,rweoc
뤛,rweoch,rweocʰ
뤜,rweok,rweokʰ
뤝,rweot,rweotʰ
뤞,rweop,rweopʰ
뤟,rweoh,rweoh
뤠,rwe,rwe
뤡,rweg,rwek
뤢,rwegg,rwek͈
뤣,rwegs,rweks
뤤,rwen,rwen
뤥,rwenj,rwenɟ
뤦,rwenh,rwenh
뤧,rwed,rwet
뤨,rwel,rweɾ
뤩,rwelg,rwelg
뤪,rwelm,rwelm
뤫,rwelb,rwelb
뤬,rwels,rwels
뤭,rwelt,rweltʰ
뤮,rwelp,rwelpʰ
뤯,rwelh,rwelh
뤰,rwem,rwem
뤱,rweb,rwep
뤲,rwebs,rweps
뤳,rwes,rwes
뤴,rwess,rwes͈
뤵,rweng,rweŋ
뤶,rwej,rwec
뤷,rwech,rwecʰ
뤸,rwek,rwekʰ
뤹,rwet,rwetʰ
뤺,rwep,rwepʰ
뤻,rweh,rweh
뤼,rwi,rwi
뤽,rwig,rwik
뤾,rwigg,rwik͈
뤿,rwigs,rwiks
륀,rwin,rwin
륁,rwinj,rwinɟ
륂,rwinh,rwinh
륃,rwid,rwit
륄,rwil,rwiɾ
륅,rwilg,rwilg
륆,rwilm,rwilm
륇,rwilb,rwilb
륈,rwils,rwils
륉,rwilt,rwiltʰ
륊,rwilp,rwilpʰ
륋,rwilh,rwilh
륌,rwim,rwim
륍,rwib,rwip
륎,rwibs,rwips
륏,rwis,rwis
륐,rwiss,rwis͈
륑,rwing,rwiŋ
륒,rwij,rwic
륓,rwich,rwicʰ
륔,rwik,rwikʰ
륕,rwit,rwitʰ
륖,rwip,rwipʰ
륗,rwih,rwih
류,ryu,rju
륙,ryug,rjuk
륚,ryugg,rjuk͈
륛,ryugs,rjuks
륜,ryun,rjun
륝,ryunj,rjunɟ
륞,ryunh,rjunh
륟,ryud,rjut
률,ryul,rjuɾ
륡,ryulg,rjulg
륢,ryulm,rjulm
륣,ryulb,rjulb
륤,ryuls,rjuls
륥,ryult,rjultʰ
륦,ryulp,rjulpʰ
륧,ryulh,rjulh
륨,ryum,rjum
륩,ryub,rjup
륪,ryubs,rjups
륫,ryus,rjus
륬,ryuss,rjus͈
륭,ryung,rjuŋ
륮,ryuj,rjuc
륯,ryuch,rjucʰ
륰,ryuk,rjukʰ
륱,ryut,rjutʰ
륲,ryup,rjupʰ
륳,ryuh,rjuh
르,reu,rɨ
륵,reug,rɨk
륶,reugg,rɨk͈
륷,reugs,rɨks
른,reun,rɨn
륹,reunj,rɨnɟ
륺,reunh,rɨnh
륻,reud,rɨt
를,reul,rɨɾ
륽,reulg,rɨlg
륾,reulm,rɨlm
륿,reulb,rɨlb
릀,reuls,rɨls
릁,reult,rɨltʰ
릂,reulp,rɨlpʰ
릃,reulh,rɨlh
름,reum,rɨm
릅,reub,rɨp
릆,reubs,rɨps
릇,reus,rɨs
릈,reuss,rɨs͈
릉,reung,rɨŋ
릊,reuj,rɨc
릋,reuch,rɨcʰ
릌,reuk,rɨkʰ
릍,reut,rɨtʰ
릎,reup,rɨpʰ
릏,reuh,rɨh
릐,ryi,rы
릑,ryig,rыk
릒,ryigg,rыk͈
릓,ryigs,rыks
릔,ryin,rыn
릕,ryinj,rыnɟ
릖,ryinh,rыnh
릗,ryid,rыt
릘,ryil,rыɾ
릙,ryilg,rыlg
릚,ryilm,rыlm
릛,ryilb,rыlb
릜,ryils,rыls
릝,ryilt,rыltʰ
릞,ryilp,rыlpʰ
릟,ryilh,rыlh
릠,ryim,rыm
릡,ryib,rыp
릢,ryibs,rыps
릣,ryis,rыs
릤,ryiss,rыs͈
릥,rying,rыŋ
릦,ryij,rыc
릧,ryich,rыcʰ
릨,ryik,rыkʰ
릩,ryit,rыtʰ
릪,ryip,rыpʰ
릫,ryih,rыh
리,ri,ri
릭,rig,rik
릮,rigg,rik͈
릯,rigs,riks
린,rin,rin
릱,rinj,rinɟ
릲,rinh,rinh
릳,rid,rit
릴,ril,riɾ
릵,rilg,rilg
릶,rilm,rilm
릷,rilb,rilb
릸,rils,rils
릹,rilt,riltʰ
릺,rilp,rilpʰ
릻,rilh,rilh
림,rim,rim
립,rib,rip
릾,ribs,rips
릿,ris,ris
맀,riss,ris͈
링,ring,riŋ
맂,rij,ric
맃,rich,ricʰ
맄,rik,rikʰ
맅,rit,ritʰ
맆,rip,ripʰ
맇,rih,rih
마,ma,ma
막,mag,mak
맊,magg,mak͈
맋,mags,maks
만,man,man
맍,manj,manɟ
많,manh,manh
맏,mad,mat
말,mal,maɾ
맑,malg,malg
맒,malm,malm
맓,malb,malb
맔,mals,mals
맕,malt,maltʰ
맖,malp,malpʰ
맗,malh,malh
맘,mam,mam
맙,mab,map
맚,mabs,maps
맛,mas,mas
맜,mass,mas͈
망,mang,maŋ
맞,maj,mac
맟,mach,macʰ
맠,mak,makʰ
맡,mat,matʰ
맢,map,mapʰ
맣,mah,mah
매,mae,mɛ
맥,maeg,mɛk
맦,maegg,mɛk͈
맧,maegs,mɛks
맨,maen,mɛn
맩,maenj,mɛnɟ
맪,maenh,mɛnh
맫,maed,mɛt
맬,mael,mɛɾ
맭,maelg,mɛlg
맮,maelm,mɛlm
맯,maelb,mɛlb
맰,maels,mɛls
맱,maelt,mɛltʰ
맲,maelp,mɛlpʰ
맳,maelh,mɛlh
맴,maem,mɛm
맵,maeb,mɛp
맶,maebs,mɛps
맷,maes,mɛs
맸,maess,mɛs͈
맹,maeng,mɛŋ
맺,maej,mɛc
맻,maech,mɛcʰ
맼,maek,mɛkʰ
맽,maet,mɛtʰ
맾,maep,mɛpʰ
맿,maeh,mɛh
먀,mya,mja
먁,myag,mjak
먂,myagg,mjak͈
먃,myags,mjaks
먄,myan,mjan
먅,myanj,mjanɟ
먆,myanh,mjanh
먇,myad,mjat
먈,myal,mjaɾ
먉,myalg,mjalg
먊,myalm,mjalm
먋,myalb,mjalb
먌,myals,mjals
먍,myalt,mjaltʰ
먎,myalp,mjalpʰ
먏,myalh,mjalh
먐,myam,mjam
먑,myab,mjap
먒,myabs,mjaps
먓,myas,mjas
먔,myass,mjas͈
먕,myang,mjaŋ
먖,myaj,mjac
먗,myach,mjacʰ
먘,myak,mjakʰ
먙,myat,mjatʰ
먚,myap,mjapʰ
먛,myah,mjah
먜,myae,mja
먝,myaeg,mjaek
먞,myaegg,mjaek͈
먟,myaegs,mjaeks
먠,myaen,mjaen
먡,myaenj,mjaenɟ
먢,myaenh,mjaenh
먣,myaed,mjaet
먤,myael,mjaeɾ
먥,myaelg,mjaelg
먦,myaelm,mjaelm
먧,myaelb,mjaelb
먨,myaels,mjaels
먩,myaelt,mjaeltʰ
먪,myaelp,mjaelpʰ
먫,myaelh,mjaelh
먬,myaem,mjaem
먭,myaeb,mjaep
먮,myaebs,mjaeps
먯,myaes,mjaes
먰,myaess,mjaes͈
먱,myaeng,mjaeŋ
먲,myaej,mjaec
먳,myaech,mjaecʰ
먴,myaek,mjaekʰ
먵,myaet,mjaetʰ
먶,myaep,mjaepʰ
먷,myaeh,mjaeh
머,meo,meo
먹,meog,meok
먺,meogg,meok͈
먻,meogs,meoks
먼,meon,meon
먽,meonj,meonɟ
먾,meonh,meonh
먿,meod,meot
멀,meol,meoɾ
멁,meolg,meolg
멂,meolm,meolm
멃,meolb,meolb
멄,meols,meols
멅,meolt,meoltʰ
멆,meolp,meolpʰ
멇,meolh,meolh
멈,meom,meom
멉,meob,meop
멊,meobs,meops
멋,meos,meos
멌,meoss,meos͈
멍,meong,meoŋ
멎,meoj,meoc
멏,meoch,meocʰ
멐,meok,meokʰ
멑,meot,meotʰ
멒,meop,meopʰ
멓,meoh,meoh
메,me,me
멕,meg,mek
멖,megg,mek͈
멗,megs,meks
멘,men,men
멙,menj,menɟ
멚,menh,menh
멛,med,met
멜,mel,meɾ
멝,melg,melg
멞,melm,melm
멟,melb,melb
멠,mels,mels
멡,melt,meltʰ
멢,melp,melpʰ
멣,melh,melh
멤,mem,mem
멥,meb,mep
멦,mebs,meps
멧,mes,mes
멨,mess,mes͈
멩,meng,meŋ
멪,mej,mec
멫,mech,mecʰ
멬,mek,mekʰ
멭,met,metʰ
멮,mep,mepʰ
멯,meh,meh
며,myeo,mjeo
멱,myeog,mjeok
멲,myeogg,mjeok͈
멳,myeogs,mjeoks
면,myeon,mjeon
멵,myeonj,mjeonɟ
멶,myeonh,mjeonh
멷,myeod,mjeot
멸,myeol,mjeoɾ
멹,myeolg,mjeolg
멺,myeolm,mjeolm
멻,myeolb,mjeolb
멼,myeols,mjeols
멽,myeolt,mjeoltʰ
멾,myeolp,mjeolpʰ
멿,myeolh,mjeolh
몀,myeom,mjeom
몁,myeob,mjeop
몂,myeobs,mjeops
몃,myeos,mjeos
몄,myeoss,mjeos͈
명,myeong,mjeoŋ
몆,myeoj,mjeoc
몇,myeoch,mjeocʰ
몈,myeok,mjeokʰ
몉,myeot,mjeotʰ
몊,myeop,mjeopʰ
몋,myeoh,mjeoh
몌,mye,mje
몍,myeg,mjek
몎,myegg,mjek͈
몏,myegs,mjeks
몐,myen,mjen
몑,myenj,mjenɟ
몒,myenh,mjenh
몓,myed,mjet
몔,myel,mjeɾ
몕,myelg,mjelg
몖,myelm,mjelm
몗,myelb,mjelb
몘,myels,mjels
몙,myelt,mjeltʰ
몚,myelp,mjelpʰ
몛,myelh,mjelh
몜,myem,mjem
몝,myeb,mjep
몞,myebs,mjeps
몟,myes,mjes
몠,myess,mjes͈
몡,myeng,mjeŋ
몢,myej,mjec
몣,myech,mjecʰ
몤,myek,mjekʰ
몥,myet,mjetʰ
몦,myep,mjepʰ
몧,myeh,mjeh
모,mo,mo
목,mog,mok
몪,mogg,mok͈
몫,mogs,moks
몬,mon,mon
몭,monj,monɟ
몮,monh,monh
몯,mod,mot
몰,mol,moɾ
몱,molg,molg
몲,molm,molm
몳,molb,molb
몴,mols,mols
몵,molt,moltʰ
몶,molp,molpʰ
몷,molh,molh
몸,mom,mom
몹,mob,mop
몺,mobs,mops
못,mos,mos
몼,moss,mos͈
몽,mong,moŋ
몾,moj,moc
몿,moch,mocʰ
뫀,mok,mokʰ
뫁,mot,motʰ
뫂,mop,mopʰ
뫃,moh,moh
뫄,mwa,mwa
뫅,mwag,mwak
뫆,mwagg,mwak͈
뫇,mwags,mwaks
뫈,mwan,mwan
뫉,mwanj,mwanɟ
뫊,mwanh,mwanh
뫋,mwad,mwat
뫌,mwal,mwaɾ
뫍,mwalg,mwalg
뫎,mwalm,mwalm
뫏,mwalb,mwalb
뫐,mwals,mwals
뫑,mwalt,mwaltʰ
뫒,mwalp,mwalpʰ
뫓,mwalh,mwalh
뫔,mwam,mwam
뫕,mwab,mwap
뫖,mwabs,mwaps
뫗,mwas,mwas
뫘,mwass,mwas͈
뫙,mwang,mwaŋ
뫚,mwaj,mwac
뫛,mwach,mwacʰ
뫜,mwak,mwakʰ
뫝,mwat,mwatʰ
뫞,mwap,mwapʰ
뫟,mwah,mwah
뫠,mwae,mwa
뫡,mwaeg,mwaek
뫢,mwaegg,mwaek͈
뫣,mwaegs,mwaeks
뫤,mwaen,mwaen
뫥,mwaenj,mwaenɟ
뫦,mwaenh,mwaenh
뫧,mwaed,mwaet
뫨,mwael,mwaeɾ
뫩,mwaelg,mwaelg
